,bath,bed,furnished,price,size,street,where
18393,1.0,,0,4000,759,60 Berry Street #2C,Williamsburg
18394,1.0,2.0,0,2200,1100,30 Covert Street #5,Bushwick
18395,1.0,1.0,0,1700,,445 Bainbridge Street #3R,Stuyvesant Heights
18396,1.0,1.0,0,1700,,445 Bainbridge Street #1R,Stuyvesant Heights
18397,1.0,1.0,0,2300,,286 17th Street #PARLOR,Greenwood
18398,2.5,2.0,0,8245,,350 East 79th Street #20C,Upper East Side
18399,1.5,3.0,0,3195,,532 W 152nd Street #5,Hamilton Heights
18400,1.0,1.0,0,3895,,270 Park Avenue South #6D,Flatiron
18401,1.0,1.5,0,1750,840,752 Hancock Street #3,Stuyvesant Heights
18402,1.0,1.0,0,2500,,1252 Lexington Avenue #2F,Upper East Side
18403,,1.0,1,3650,820,135 East 54 #7G,Midtown
18404,1.0,,0,2125,550,20 Exchange Place #1130,Financial District
18405,,1.0,1,1900,800,35-40 75th Street #5,Jackson Heights
18406,1.0,,0,2800,600,244 Madison Avenue #8D,Midtown South
18407,1.0,1.0,0,4655,664,600 Washington Street #503,West Village
18408,3.5,3.0,0,29538,2370,157 W 57th Street #39F,Midtown
18409,2.5,2.0,0,25000,,151 East 58th Street #36A,Midtown East
18410,2.0,2.0,0,7500,1716,441 East 57th Street #4,Sutton Place
18411,1.0,2.0,0,2900,1000,70-25 Yellowstone Boulevard #11H,Forest Hills
18412,2.0,3.0,0,4192,,41-42 24th Street #520,Long Island City
18413,2.0,1.0,0,4150,,312 Eleventh Avenue #7S,West Chelsea
18414,1.0,2.0,0,1800,,271 West 146th Street #6,Central Harlem
18415,1.0,,0,3250,,6 Bleecker Street #2,Noho
18416,1.0,1.0,0,2795,750,504  West 110th Street #1G,Manhattan Valley
18417,1.0,1.0,0,3375,764,101 W. 90th Street #17A,Upper West Side
18418,1.0,,0,3195,,100 West 58th Street #14A,Midtown
18419,,2.0,0,2300,,88 East 111th Street #17,East Harlem
18420,3.0,3.0,0,12000,1656,201 West 72nd Street #18A,Upper West Side
18421,1.0,1.0,0,1875,750,75-25 153rd Street #746,Kew Gardens Hills
18422,2.0,2.0,0,2375,1000,75-25 153rd Street #937,Kew Gardens Hills
18423,1.5,3.0,0,2700,1200,99-37 63rd Rd #2,Rego Park
18424,1.0,,0,2100,,406 West 51st Street #2B,Midtown West
18425,1.0,3.0,0,3459,,2305 30th Avenue #A2,Astoria
18426,1.0,1.0,0,2800,700,52 6th Avenue #1,Prospect Heights
18427,1.0,1.0,0,4400,,229 Chrystie Street #418,Lower East Side
18428,2.0,2.0,0,4400,1024,1 Wall Street Court #401,Financial District
18429,2.0,3.0,0,3000,,1968 East 26th Street ,Madison
18430,1.5,3.0,0,4100,,158 Burns Street #1--2,Forest Hills
18431,,2.0,1,3450,675,101 Sutton Street #125,Greenpoint
18432,1.0,,0,2350,,30 East End Avenue #4L,Yorkville
18433,2.0,3.0,0,2995,,15 Covert Street #2,Bushwick
18434,2.0,3.0,0,2995,,15 Covert Street #3,Bushwick
18435,1.0,,1,4000,,250 West 19th Street #10M,Chelsea
18436,2.0,1.0,0,5995,966,250 East 53rd Street #2903,Turtle Bay
18437,1.0,1.0,0,2625,651,4126 27th Street #8B,Long Island City
18438,1.5,1.0,0,3850,950,159 West 53rd Street #22B,Midtown
18439,1.0,1.0,0,1700,960,736 E 133rd Street #2,Hunts Point
18440,1.0,1.0,0,3375,610,354-368 West 34th Street #9B,Midtown West
18441,2.0,2.0,0,14500,1400,176 West 87th Street #3C,Upper West Side
18442,1.0,1.0,0,1700,960,736 E 133rd Street #2,Hunts Point
18443,2.0,3.0,0,11925,1413,170 Amsterdam Avenue #19A,Lincoln Square
18444,2.0,3.0,0,10995,1328,170 Amsterdam Avenue #20A,Lincoln Square
18445,2.0,2.0,0,7945,1127,170 Amsterdam Avenue #19D,Lincoln Square
18446,2.0,2.0,0,6535,827,170 Amsterdam Avenue #20E,Lincoln Square
18447,1.0,1.0,0,4765,622,170 Amsterdam Avenue #20F,Lincoln Square
18448,1.0,1.0,0,4735,695,170 Amsterdam Avenue #19F,Lincoln Square
18449,1.0,1.0,0,4465,608,170 Amsterdam Avenue #20C,Lincoln Square
18450,1.0,1.0,0,4435,608,170 Amsterdam Avenue #19C,Lincoln Square
18451,1.0,1.0,0,4110,608,170 Amsterdam Avenue #19B,Lincoln Square
18452,1.0,1.0,0,4140,608,170 Amsterdam Avenue #20B,Lincoln Square
18453,1.5,1.0,0,3500,,27 Jones Street #1C,West Village
18454,1.0,2.0,0,4350,,166 East 34th Street #802,Kips Bay
18455,1.0,,0,2167,,212 West 91st Street #239,Upper West Side
18456,1.0,3.0,0,2800,,17-12 Grove Street #2,Bushwick
18457,,2.0,1,27000,1975,151 East 58th Street #43A,Midtown East
18458,1.0,,0,2695,,100 Jay Street #10D,DUMBO
18459,1.0,1.0,0,2600,700,100 Gold Street #3F,Vinegar Hill
18460,1.0,1.0,0,1900,400,95 Elizabeth Street #C3,Little Italy
18461,2.0,2.0,0,5970,1800,14 Delancey Street #PH,Lower East Side
18462,2.0,2.0,0,4750,,139 West 81st Street #3,Upper West Side
