,bath,bed,furnished,monthly,price,size,street,where
6294,,,0,0,2250000,1812,40-21 27th Street ,Long Island City
6295,1.0,1.0,0,0,249500,,9801 Shore Rd #A,Fort Hamilton
6296,3.5,3.0,0,0,8500000,4804,704 Broadway #3FLR,Noho
6297,6.0,12.0,0,0,2150000,3500,336 Bleecker Street ,Bushwick
6298,1.5,2.0,0,0,555000,1120,2020 Bragg Street ,Homecrest
6299,2.5,3.0,0,0,2395000,1645,301 West 118th Street #PH2B,Central Harlem
6300,4.5,4.0,0,0,18850000,4664,505 West 19th Street #PHW,West Chelsea
6301,2.5,2.0,0,0,2795000,1654,340 East 64th Street #17L,Lenox Hill
6302,1.5,2.0,0,0,555000,1120,2020 Bragg Street ,Homecrest
6303,2.5,3.0,0,0,2395000,1645,301 West 118th Street #PH2B,Central Harlem
6304,3.0,3.0,0,0,4495000,2395,270 Riverside Drive #6C,Upper West Side
6305,1.0,2.0,0,0,935000,1100,212 East 48th Street #7C,Turtle Bay
6306,2.0,3.0,0,0,1799000,1700,160 West 95th Street #2A,Upper West Side
6307,,2.0,1,0,379000,1615,42 Country Drive S #42,New Springville
6308,3.0,3.0,0,0,2100000,1405,337 East 62nd Street #4CD,Lenox Hill
6309,4.5,5.0,0,0,12995000,4650,200 Chambers Street #24DE,Tribeca
6310,2.0,2.0,0,0,1599000,1179,538 Union Avenue #5A,Williamsburg
6311,1.0,1.0,0,0,735000,535,538 Union Avenue #1A,Williamsburg
6312,2.0,2.0,0,0,875000,1010,504 West 136th Street #6D,Hamilton Heights
6313,2.0,2.0,0,0,1595000,1096,99 Battery Place #8C,Battery Park City
6314,2.5,2.0,0,0,2950000,1911,415 East 6th Street #2NDFL,East Village
6315,1.0,,0,0,609000,577,88 Greenwich Street #305,Financial District
6316,2.5,3.0,0,0,5500000,4203,169 Hudson Street #2S,Tribeca
6317,2.5,3.0,0,0,550000,2006,244 East 56th Street ,Northeast Flatbush
6318,4.0,5.0,0,0,6195000,,312 East 52nd Street ,Turtle Bay
6319,1.0,1.0,0,0,799000,,88 Bleecker Street #4M,Greenwich Village
6320,4.5,8.0,0,0,1275000,4230,2006 West 6th Street ,Gravesend
6321,1.0,,0,0,415000,475,305 East 40th Street #6T,Murray Hill
6322,1.0,,0,0,475000,,150 West 51st Street #1927A,Midtown West
6323,2.0,2.0,0,0,2365000,1345,301 West 53rd Street #13GH,Midtown West
6324,3.0,3.0,0,0,2900000,2300,15 Broad Street #920,Financial District
6325,1.0,2.0,0,0,445000,721,319 East 105th Street 10029 #3D,East Harlem
6326,2.0,2.0,0,0,1995000,1530,940 Park Avenue #4B,Upper East Side
6327,3.5,5.0,0,0,6749000,2800,2 Fifth Avenue 24/25/26,Greenwich Village
6328,2.0,2.0,0,0,1895000,1159,46-30 Center Boulevard #1402,Hunters Point
6329,1.0,2.0,0,0,525000,,160 Wadsworth Avenue #601,Fort George
6330,4.0,3.0,0,0,9500000,5250,235 East 72nd ,Upper East Side
6331,3.5,3.0,0,0,3175000,,180 East 79th Street #2F,Upper East Side
6332,1.0,3.0,0,0,449000,1350,51 Beresford Avenue ,Travis
6333,2.5,2.0,0,0,3500000,1535,300 East 55th Street #9B,Sutton Place
6334,2.0,2.0,0,0,1150000,,164 South 1st Street #4B,Williamsburg
6335,2.0,2.0,0,0,1195000,,164 South 1st Street #4A,Williamsburg
6336,5.0,6.0,0,0,9275000,,311 West 91st Street #TH,Upper West Side
6337,1.0,1.0,0,0,2750000,900,2 Fifth Avenue #24,Greenwich Village
6338,1.5,1.0,0,0,1390000,823,310 West 52nd Street #6A,Midtown West
6339,2.0,2.0,0,0,3995000,1587,721 Fifth Avenue #39B,Midtown
6340,1.0,1.0,0,0,239000,900,35-33 80th Street #32,Jackson Heights
6341,1.0,1.0,0,0,1895000,900,421 Hudson Street #711,West Village
6342,1.5,2.0,0,0,2750000,,22 E 18th Street #6B,Flatiron
6343,4.5,4.0,0,0,6350000,2727,221 West 77th Street #4W,Upper West Side
6344,1.0,1.0,0,0,1895000,900,421 Hudson Street #711,West Village
6345,1.0,1.0,0,0,229995,700,90-02 63rd Drive #1H,Rego Park
6346,3.0,4.0,0,0,950000,,25-36 163rd Street ,Queensboro Hill
6347,2.0,2.0,0,0,1395000,1325,40 Sutton Place #2EF,Sutton Place
6348,1.0,,0,0,625000,,92 Horatio Street #5D,West Village
6349,1.0,1.0,0,0,1350000,680,140 East 63rd Street #9F,Lenox Hill
6350,3.0,6.0,0,0,1685000,3758,1070 Bergen Street ,Crown Heights
6351,2.0,3.0,0,0,539000,,1349 East 102nd Street ,Canarsie
6352,1.5,2.0,0,0,6995000,3428,408 Greenwich Street #4THFLR,Tribeca
6353,1.5,3.0,0,0,299000,2000,757 Essex Street #1,East New York
